Series ID,Year,Period,Label,Value
CUURS12ASA0,1999,M01,1999 Jan,175.0
CUURS12ASA0,1999,M02,1999 Feb,175.1
CUURS12ASA0,1999,M03,1999 Mar,175.5
CUURS12ASA0,1999,M04,1999 Apr,176.0
CUURS12ASA0,1999,M05,1999 May,176.1
CUURS12ASA0,1999,M06,1999 Jun,176.8
CUURS12ASA0,1999,M07,1999 Jul,177.2
CUURS12ASA0,1999,M08,1999 Aug,177.6
CUURS12ASA0,1999,M09,1999 Sep,178.2
CUURS12ASA0,1999,M10,1999 Oct,178.9
CUURS12ASA0,1999,M11,1999 Nov,178.8
CUURS12ASA0,1999,M12,1999 Dec,178.6
CUURS12ASA0,2000,M01,2000 Jan,179.3
CUURS12ASA0,2000,M02,2000 Feb,180.5
CUURS12ASA0,2000,M03,2000 Mar,181.5
CUURS12ASA0,2000,M04,2000 Apr,181.4
CUURS12ASA0,2000,M05,2000 May,181.4
CUURS12ASA0,2000,M06,2000 Jun,182.0
CUURS12ASA0,2000,M07,2000 Jul,182.8
CUURS12ASA0,2000,M08,2000 Aug,183.1
CUURS12ASA0,2000,M09,2000 Sep,184.4
CUURS12ASA0,2000,M10,2000 Oct,184.6
CUURS12ASA0,2000,M11,2000 Nov,184.6
CUURS12ASA0,2000,M12,2000 Dec,184.2
CUURS12ASA0,2001,M01,2001 Jan,184.9
CUURS12ASA0,2001,M02,2001 Feb,185.3
CUURS12ASA0,2001,M03,2001 Mar,186.4
CUURS12ASA0,2001,M04,2001 Apr,186.6
CUURS12ASA0,2001,M05,2001 May,187.3
CUURS12ASA0,2001,M06,2001 Jun,188.3
CUURS12ASA0,2001,M07,2001 Jul,187.8
CUURS12ASA0,2001,M08,2001 Aug,188.1
CUURS12ASA0,2001,M09,2001 Sep,188.0
CUURS12ASA0,2001,M10,2001 Oct,187.8
CUURS12ASA0,2001,M11,2001 Nov,187.8
CUURS12ASA0,2001,M12,2001 Dec,187.3
